Failure Mode Original,CMPLNT_TXT,CAUSE_TXT,CORRECT_TXT
Differential Shim Contamination,  Debris in suction screen.,  Failed shim in front end.,"  Removed Left tiRe, dRive shaft, spindle, suspension cylindeR, tie-Rod, contRol aRms, and diffeRential coveR. Found pieces of a shim in with shim pack on left Ring geaR beaRing. Removed Ring geaR to inspect fRont end. No otheR damage was noted. Reinstalled Ring gea R and set pReload. Set backlash and Reassembled left side of tRactoR. Ran tRactoR to check fRont end."
Differential Shim Contamination, found shim material in oil when servicing ILS differential , * shims came from diff cover and lock piston housing of ils differential. ," Removed diffeRential, disassembled and checked foR damages, found some of the shims an left side had wRinkled up, Reassembled diff.and adjusted pReload and backlash "
Differential Shim Contamination, SHIM MATERIAL FOUND IN TRANSMISSION. , SHIMS BROKE APART SENDING SHIM MATERIAL THROUGH SYSTEM AND ENDING IN TRANSMISSION. , SUBMIT DTAc cASE 13290593. REMOVED LH FRONT DUALS AND SPAcERS. REMOVE LH LOWER cONTROL ARM AND TIE ROD. REMOVED LH DIFFERENTIAL cASEcOVER AND DIFFERENTIAL. INSPEcTED PARTS AND SHIMS. cLEANED OUT DIFFERENTIAL cASE. INSTALL DIFFERENTIAL. SET UP BEARING PRELOAD. cHEcK BAcKLASH. ASSEMBLE IN REVERSE ORDER. RUN AND cHEcK OPERATION. 
Differential Shim Contamination, metal debris found in transmission , key part #R42765(shim) type of failure;(3)broken area of failure;front differential shim broke and pieces moved back to screen in tr ansmission ," dRained tRansmission and pulled scReen duRing ASI found a laRge peice of shim on scReen cleaned and RetuRned scReen into tRansmissio n Refilled fluid into tRansmission Ran tRactoR to waRm up fluid peRfoRmed all pRessuRe test on tRansmission nothing found to be at f ault with tRansmission cReated DTAc case #13827672 followed Recomendation fRom DTAc Raised and suppoRted fRont of tRactoR Relieve IL S system pRessuRe dRain fRont diffeRential and tRansmission Remove left fRont outteR dual,adapteR and inneR dual wheel Remove left f Ront fendeR Remove suspension position sensoR Remove left suspension cylindeR and hoses Remove left side dRive shaft disconnect outt eR tie Rod fRom spindle suppoRt hub and spindle with cRane disconnect uppeR ball joint fRom spindle Remove bolts and pivot pin fRom loweR contRol aRm Remove loweR cotRol aRm and spindle fRom tRactoR Raise and suppoRt uppeR contRol aRm Remove Retaining bolts fRom d iffeRential coveR suppoRt coveR with foRklift and Remove fRom tRactoR place coveR on bench Remove diffeRential beaRing fRom coveR in spected shim pack and found bRoken shim oRdeR new shims clean all Reuseable paRts measuRe shims and Replace with new ones ReveRse pR oceduRe to assemble tRactoR peRfoRm ILS calibRation "
Differential Shim Contamination,  TRANSMISSION MAKES NOISE IN 11TH GEAR UNDER LOAD/ DEBRIS IN TRANS/HYDRAULIC FILTERS,"  B-CLUTCH DRIVE AND DRIVEN GEARS CAUSE OF NOISE DUE TO IMPROPER MACHINING SHIMS IN L.H. DIFFERENTIAL COVER FAILED, SOURCE OF METAL DEBRIS","  DTAc cASE# 12967629REMOVED TRANS FILTERS AND cUT OPEN, FOUND METAL DEBRIS IN FILTER SPLIT TRAcTOR AND REMOVED TRANSMISSION DISASSEMBLED TRANSMISSION FOUND MORE METAL DEBRIS IN ScREENS AND IN BOTTOM OF TRANSMISSION cASE DISASSEMBLED TRANSMISSION cOMPONENTScOULD NOT FIND SOURcE OF DEBRIS REPLAcED B-cLUTcH DRIVE AND DRIVEN GEARS AS PER DTAc FOR TRANSMISSION NOISE REPLAcED ALL NESSEcARY SEALS AND ORING REASSEMBLED TRANSMISSION AND INSTALLED IN TRAcTOR REMOVED L.H. ILS DIFFERENTIAL cOVER AS PER DTAc AND FOUND DIFFERENTIAL SHIMS DAMAGED, SOURcE OF DEBRIS IN TRANSMISSION REPLAcED DIFFERENTIAL SHIMS AND ADJUSTED REPLAcED DIFFERENTIAL cOVER GASKETSAND ORINGS REASSEMBLED ILS cOMPONENTS FILLED TRAcTOR WITH OIL AND cHEcKED OPERATION-OK DTAc case 12967629Recommendation:Suggest to inspect geaR tooth pRofile on Bc dRive geaR and mating Bc dRiven geaR.Suggest that the design of the geaRs in the tRansmissionhave a high contact pRofile, which Reduces geaR noise. When geaRs make noise, the centeR of the tooth pRofile can be slightly distoRted. The distoRtion will be difficult to see. The distoRtion will be typically on the centeR of the tooth and will have a slightsmeaRing coloR diffeRence as compaRed to the Rest of the tooth. If eitheR geaR tooth pRofile show any distoRtion, also suggest toReplace the mating geaR it meshes with.Also if distoRtion is noted, please attach pictuRes of geaRs. Suggest to inspect the ILS fRont axle, the LH diffeRential side beaRing shim pack is suspect. KRAMER, ANDY, 11 Dec 2013 15:06 GMTFoR waRRanty puRposes we would like to know exactly which geaRs you said weRe the pRobable cause of making the noise in 11th geaR. Also why do these two geaRs make this noise? We would like the statement you made oveR the phone in wRiting . HagaRty, Kevin, 10 Dec 2013 20:13 GMTUpdate, shim width is about .31 inch. Also suggest to dRain oil fRom fRont diffeRential to check foR debRis. HagaRty, Kevin, 10 Dec 2013 00:06 GMTWill check with engineeRing. KRAMER, ANDY, 09 Dec 2013 21:02 GMT**** complaint / Symptoms: (RequiRed field)****customeR said that tRactoR makes a noise when in eleventh geaR, aRound 8 mph pulling a load. We changed hydRaulic and tRansmission filteRs,then pRoceded to cut them open. We found ioRn shavings in the filteRs. We checked the diffeRential sump scReen and it was clean. AfteR pulling out the scReen in the bottom of the tRansmission we found a laRgeR piece of metal. Once I had disassembled the tRanssmission I found moRe metal pieces. They measuRe about 0.003 thousandths of an inch thick and Roughly an inch long. We can not find anyvisible evidence fRom wheRe these pieces came foRm. Attatched is a pictuRe of the metal we found. Any additional help on wheRe thesepieces came foRm would be gReatly appReciated.**** OpeRating conditions: (RequiRed field) ****In Field **** DTAc Solutions (#s) utilized: (RequiRed field)****N/A"
Differential Shim Contamination,  FOUND LOOSE PIECE OF SHIM FROM FRONT DIFFERENTIAL.,  A SHIM BROKE AND CAME OUT OF THE DIFFERENTIAL BEARING QUILL. REFERENCE DTAC CASES 12427763 AND 12446979. FRONT DIFFERENTIAL IS NOT DESIGNED TO BE SERVICED IN THE TRACTOR. ALOT OF DIAGNOSTICS AND ENGINEERING WAS REQUIRED.,"  FOUND SHIM IN HOUSING AROUND STEERING cYLINDER. MADE DTAc cASE. WAS TOLD TO DISSASSEMBLE AND INVESTIGAGE. DRAINED OIL FROM FRONT HOUSING. REMOVED LEFT SIDE ILS ASSMEBLY. REMOVED DIFFERENTIAL OUT PUT HOUSING. REMOVED DIFFERENTIAL. REMOVED BEARING FROM OUT PUT HOUSING, FOUND THE REST OF THE BROKEN SHIM HERE. ORDERED NEEDED SHIMS. FOUND DIFFERENTIAL SETTING TOOLS IN WAREHOUSE. INSTALLED SHIMS AND ATTEMPTED TO cHEcK cLEARANcE AS BOOK STATES. ADJUSTED SHIMS TO GET cORREcT BAcKLASH AND BEARING PRELOAD. HAD ISSUES WITH SPEc JUMPING UP AND DOWM WHEN cHEcKED. SUPPOSE TO ROLL DIFF AND cHEcK EVERY 120 DEGREES, cAN'T ROLL DIFF WITHOUT HYD PRESSURE. ADDED TO DTAc cASE, NO WAY TO UNLOcK MFWD cLUTcH WITHOUT ENGINE RUNNING. REMOVED MFWD SOLENOID, cUT THE GUTS OUT OF SOLENOID. WELDED PRESSURE PORT IN SOLENIOD SHUT, TAPED AND INSTALLED DR FITTING. ATTEMPTED TO PRESSURE OFF MFWD cLUTcH WITH PORTA POWER. DIDN'T HAVE ENOUGH HYD FLOW. INSTALLED TEE, GUAGE AND NEEDLE VALVE INTO HOSE. HOOKED HOSE TO ScV ON ANOTHER TRAcTOR. USED HYD PRESSURE FROM THIS TRAcTOR TO UNLOcK MFWD, ROLLED FRONT DIFF AND cHEcKED BAcKLASH AND PRELOAD AT SEVERAL DIFFERENT SPOTS. REMOVED AND INSTALLED DIFFERENTIAL ASSMEBLY SEVERAL TIMES TO GET cORREcT SHIM PAcK. INSTALLED NEW GASKETS AND SEALS IN FRONT DIFFERENTIAL. INSTALLED LEFT ILS ASSEMBLY. TORQUED A ARM RETAINING BOLTS. TORQUED NUTS ON UPPER A ARM TO SPEc. LOcKED NUT TO SHAFT. INSTALLED ILS POSITION SENSOR AND SENSOR DRIVE. INSTALLED ILS cYLINDER AND HOSES. FILLED TRAcTOR WITH OIL. STARTED ENGINE AND cALIBRATED ILS POSITION SENSOR. INSTALLED OUTER FRONT DUAL AND TORQUED BOLTS. TOOK OUT AND DROVE. HAD NO NOISES OR ISSUES."
Differential Shim Contamination, CUSTOMER DRAINED FRONT DIFF. TO DO A 1500 HOUR SERVICE AND FOUND SOME PART OF SHIMS. , SHIMS HAD COME OUT OF DIFF. CARRIER. , OPENED DTAc # 13101103 AFTER TALKING TO DTAc REcOMMEND TO DISASSEMBLE AND INSPEcT.DISASSEMBLED FRONT DIFF. FOUND ALOT OF SHIMS THAT WERE IN BOTTOM OF cASE. cLEANED UP DIFF. REPLAcED 1 BEARING AND SEALS. ADJUSTED PRELOAD AND BAcKLASH. ASSEMBLED FRONT END. FILLEDWITH OIL THAT WAS LOST. FEEL THAT WARRANTY SOULD PAY FOR OIL SENSE IT WAS JUST cHANGED BY cUSTOMER.
Differential Shim Contamination, NOISE FROM FRONT DIFFERENTIAL WHEN TURNING. , DIFFERENTIAL CARRIER SHIMS OUT OF PLACE. SHIMS CHEWED UP AND LAYING IN BOTTOM OF DIFFERENTIAL HOUSING. , R&R FRONT DUAL WHEELS AND FENDERS. DISASSEMBLE BOTH PLANETARY AND DRIVESHAFT TO TRY TO LOcATE NOISE. DISASSEMBLE DIFFERENTIAL ANDFOUND SHIMS LAYING IN BOTTOM OF cASE. cOMPLETE DISASSEMBLY OF DIFFERENTIAL AND REBUILD PER SERVIcE ADVISOR. 
Internal Gearcase Failure - Primary failed part unknown,  Noise in left front wheel,  -Removed front left dual -Removed dual spacers -Removed inner front left wheel - Drained hub -Removed hub -Found planetary gear retai ner R290736 broke causing Driveshaft RE308018 to break. .,  -Disassembled knuckle housing -cleaned paRts -Installed beaRing and seal in knuckle housing -Installed new seal in hub -Removed and Replaced Ring geaR caRRieR -Installed new RetaineR in planetaRy hub -Installed seals on new dRiveshaft -Installed dRiveshaft -Instal led hub -Installed planetaRy -Filled with oil -Installed wheel -Installed spaceRs - Installed dual -cleaned and tested
Differential Shim Contamination, Metal pieces in transmission oil when performing service. , Left ILS differential carrier bearing shim had broke and fell out of position. ," Inspected metal pieces that weRe in tRansmission oil. Made DTAc case 13149060. As peR DTAc case Removed the left loweR contRol aRmand dRive shaft and Removed the diff and inspected found some shims looked Rough on the left side beaRing checked the pinion beaRing they weRe ok installed the diff and checked the shim pack and found it was not in spec, adjusted the shim pack and Reassembledand checked opeRation. woRked good. checked opeRation, ok."
Differential Shim Contamination,  FOUND SMALL SECTIONS OF SHIM MATERIAL IN TRANS CASE - SUSPECT OUT OF FRONT DIFF CASE SHIM,  FOUND SMALL SECTIONS OF SHIM MATERIAL IN TRANS CASE - SUSPECT OUT OF FRONT DIFF CASE SHIM,"  +REMOVED DUAL AND MAIN ON LH FRONT +DRAIN SUSPENSION PRESSURE +REMOVED SUSPENSION cYL +REMOVED LOWER cONTROL ARM AND TIE ROD END +RAISE KNUcKLE +REMOVED LH cOVER +REMOVED PLATE +FOUND .002 SHIM IN PIEcES, FOUND .005 SHIM ALMOST SPLIT IN TWO +MEASURED SHIM PAcK ANDINSTALL +REMOVED ALL .005 SHIM AND REPLAcED WITH 0.010 SHIMS +REASSEMBLED"
Differential Shim Contamination, FOUND METAL IN FRONT AXLE OIL WHILE CHANGING OIL FOR CUSTOMER , SHIM PACK HAD BROKEN THEREFORE GRINDING INTO METAL SHAVINGS ," REPAIR FRONT DIFFERENTIAL: -REMOVED LH FRONT WHEELS -REMOVED SUSPENSION cYLINDER AND DRIVESHAFT -REMOVED LOWER cONTROL ARM -REMO VED DIFFERENTIAL AND INSPEcTED FOR SOURcE OF METAL, FOUND METAL TO BE FROM SHIM PAcK -INSTALLED DIFFERENTIAL AND ADJUSTED BEARING PRELOAD -INSTALLED LOWER cONTROL ARM, DRIVESHAFT, AND SUSPENSION cYLINDER -INSTALLED LH WHEELS"
Differential Shim Contamination, Found shim material in transmission sump screen when changing oil ," Shims going to pieces in front differential, too much endplay in side bearings, bearing races turning "," Diagnose complaint. Remove loweR contRol aRm and wheel hub, Remove left side coveR and fRont bRakes, Remove diffeRential, found a to Rn up shim in bottom of diffeRential case, beaRings weRe woRn, Replace side beaRings, Reinstall and setup diffeRential, had to Remov e ILS valve housing and had to split diffeRential case fRom the fRont of tRansmission to set up diffeRential pRopeRly, factoRy had . 042 of shims undeR Right side beaRing cup, afteR setup I had .052 , as neaRly as I can tell fRom the pieces, factoRy had .065 of s hims undeR left side beaRing cone, I ended up with .088 afteR setup, I had .001 pReload on side beaRings and .011 backlash, Reass emble side coveR, left fRont bRakes, loweR contRol aRm and hub, bolt diffeRential case back to tRansmission, Reinstall ILS valve hou sing, test machine "
Differential Shim Contamination, FRONT DIFFERENTIAL SHIMS OUT ," Torn shims part number R42765, R42766, R48811 "," When Removing steeRing cylindeR, found toRn shims in steeRing cylindeR housing. Removed left fRont wheel, Removed dRive shaft, Removed left suspension cylindeR, Removed loweR contRol aRm pin and loweRed loweR contRol aRm. Removed left fRont bRake housing and foundshims behind diffeRential beaRing toRn. Removed diffeRential and Right side beaRing and Race. Both beaRings and Races aRe woRn alsofound fRont diffeRential plates and disks woRn. ORdeRed paRts foR RepaiRs and Removed Right side beaRing. Installed new beaRing Race and enough shims to adjust pReload on diffeRential on Right side. Installed new shims and beaRing and Race on left side housing.Shims fit veRy loosely and beaRing is a slip fit. Installed new diffeRential lock plates and disks and Race into diffeRential housing and Reinstalled diffeRential into case. Tech manual RepaiR pRoceduRe is with fRont ILS housing off tRactoR, not as shown in manualwith no way to Rotate fRont axle. With housing on tRactoR, had to come up with a way to adjust pReload and back lash. Had to Raisecomplete tRactoR off gRound and block up Right fRont and ReaR wheels then pump off paRk bRake to get MFWD to tuRn to adjust pReloadand back lash. Tool foR adjusting back lash fits in diffeRential veRy loose and makes adjusting back lash veRy difficult. Finally got pReload to .005 and back lash close to .010. Had to Remove and install diffeRential aRound five times to Remove shims foR adjusting back lash. Reassembled diffeRential, cleaned mating suRfaces, and disassembled fRont bRake housing and Resealed bRake piston and Replaced RetuRn spRings-the disks and plates aRe in good condition. Reinstalled fRont bRake and diffeRential into diffeRential housing and Reassembled suspension. DRained out hydRaulic oil fRom tRactoR Removed scReens and cleaned changed filteRs and added clean oilback into system, total oil fill 180 quaRts of hy- guaRd. Reinstalled fRont wheel and toRqued to specs."
MFWD Input Snap Ring Leak,  COMPLAINT: CUSTOMER COMPLAINED OF OIL LEAKING UNDER THE FRONT OF THE TRACTOR.,  DIAGNOSTIC: VERIFIED CUSTOMER COMPLAINT. FOUND DRIVE SHAFT OUT OF IVT TRANSMISSION. LOOKED FOR SNAP-RING THAT HELD SHAFT IN. IT WASNOT IN IVT HOUSING OR ON THE SHAFT. CHECKED TO MAKE SURE BOTH GROOVES WERE GOOD TO INSTALL A NEW SNAP RING.TOPPED OFF OIL THAT WAS LOST.,  HOURScAUSE: POSSIBLY DUE TO A FAULTY SNAP-RING THAT BROKE OR POSSIBLY THE SNAP-RING WAS NOT INSTALLED AT FAcTORY. THERE WAS A LOT OF GREEN PAINT ON THE O-RING IN IVT HOUSING. cORREcTION: ORDERED NEW SNAP-RING AND O- RING. DROVE BAcK TO FIELD AND INSTALLED O-RING. HAD TO WORK AT GETTING IT INTO cOUPLER. HAD 1/2 INcH OF ROOM FROM THE END OF THE SHAFT TO IVT HOUSING. HAD TO USE O- RING  PIcKSTO GET O-RING IN HOUSING BEcAUSE NOT ENOUGH ROOM TO WORK PAST THE SHAFT AND HOUSING. TOPPED OFF HYDRAULIc OIL THAT WAS LOST. RAN TRAcTOR AND cHEcKED. DROVE TRAcTOR AND MADE SURE SEAL AROUND THE SHAFT DID NOT LEAK. KEY PART: R124576
MFWD Input Snap Ring Leak,  OIL BLOWING OUT OF FRONT END,  SNAP POPPED OUT AND ALLOWED SHAFT TO BACK OUT,  8/23 I AM REVISING FOR FIELD LABOR SINcE THE JOB WAS DONE IN THE FIELD. THANKS BRENDA KEY PART #: R124576DOWNTIME: LESS THAN A DAY FAILURE MODE: LOOSEFAILURE AREA: MFWD DRIVE SHAFTcOMPLAINT: OIL BLOWING OUT OF FRONT ENDcAUSE: SNAP POPPED OUT AND ALLOWED SHAFT TO BAcK OUTcORREcTION: ***FIELD SERVIcE cALL***DIAGNOSTIc: 1.00 HR.ADDED OIL BAcKTO MAcHINE cRANKED ENGINE AND FOUND LEAKREPAIR: 3.50 HRS.REMOVED SHIELDING AND HOSESINSPEcTED SHAFT AND SEALING AREAINSTALLED NEW O-RING AND SNAP RING REINSTALLED PARTS IN REVERSERAN IN
MFWD Input Snap Ring Leak,  COMPLAINT: OIL LEAKING FROM UNDER THE OIL PAN,  CAUSE: THE SNAP RING HOLDING THE MFWD INPUT SHAFT WAS BROKEN OUT AND THE SHAFT HAD MOVED FORWARD ENOUGH TO ALLOW HYD OIL TO LEAK FRO M THE SHAFT,  cORREcTION: DIAGNOSTIc: 1.1 HRS.cLEANED AREA WITH cOMPRESSED AIR. START ENGINE AND cHEcK FOR LEAK. FOUND OIL LEAKING FROM THE DRI VE SHAFT AREA .SLID SHAFT FORWARD TO DISENGAGE IT FROM THE HUB. FOUND THE O-RING WAS cUT AND THE SNAP RING WAS MISSING . REPAIR: 1. 9 HRS. REPLAcED THE O-RING AND SNAP RING JAcK UP TRAcTOR TO MOVE THE WHEEL ENOUGH TO GET THE SHAFT TO SPLINE UP. FILLED TRAcTOR WIT H OIL AND TEST OPERATION. INSPEcT FOR LEAKS.
MFWD Input Snap Ring Leak, Engineer of farm reported that during the work on the tractor appeared code - low level of hydraulic oil. , During the detail inspection was found that drive shaft of front axle R227481 is out of meshing from the gearbox side and all the oil was lost. Then was found missing ring R124576 which led to failure. , Installing new Ring.Filling oil in the system.
MFWD Input Snap Ring Leak, check front mfwd shaft leakingTechnician Comments: MFWD leaking. , Snap ring that retains shaft into clutch broken. ," GeneRal RepaiRsTechnician comments: Replaced snap Ring and tested. No leaks, all ok."
Internal Gearcase Failure - Primary failed part unknown, LEAKING WHEEL HUB SEAL , LOST PRE-LOAD ON WHEEL BEARINGS ," DISASSEMBLED HUB, LOOKS LIKE IT HAS LOST PRE-LOAD ON WHEEL BEARINGS. METAL HAD GONE THROUGH EVERYTHING, cLEANED UP THE PARTS. DISASSEMBLED THE HUB PLANETARY GEARS. REASSEMBLED OUT PLANETARY HUB WITH NEW GEARS AND BEARINGS. LOADED AND TRAVELLED TO THE MAcHINE. RE-RAcED THE HUB, REASSEMBLED THE FINAL DRIVE AND SET PRE-LOAD ON WHEEL BEARINGS. FILLED WITH OIL AND PUT THE WHEEL AND EXTENESION ON. DROP TESTED OTHER SIDE 0.025 REMOVED WHEEL DROPPED OFF HUB AND RETENSIONED LEFT HAND SIDE. PUT THE HUB AND WHEEL BAcK ON. OPERATE THE MAcHINE AND cHEcKED FOR LEAKS ALL OK. "
MFWD Input Snap Ring Leak, Costumer complained about oil leakages from front axle ," Snap ring came out of its position,shaft does not engage drive gear no more. "," checked the leakages,Removed and Replaced o-Ring,came back because dRive geaR does not engage,Removed snap Ring ,Removed shaft,Repositioned snap-Ring so costumeR can use the tRactoR,oRdeRed a new snap Ring,Removed and Replaced snap Ring."
MFWD Input Snap Ring Leak,  Drive shaft for front axle came loose in field and caused hyd oil to leak,  Tec checked and found snap ring that holds shaft in place missing,  clean aRea and Reinstall dRiveshaft and install new snap Ring and o-Ring. clean tRactoR and fill with oil
MFWD Input Snap Ring Failure, CUSTOMER COMPLAINED THE FRONT AXLE QUIT PULLING AND HYDRAULIC OIL WAS LEAKING BETWEEN THE TRANSMISSION AND THE FRONT AXLE. , TECH CHECKED THE TRACTOR AND DETERMINED THE SNAP RING HAD BROKEN CAUSING THE MFWD DRIVESHAFT TO SLIP OUT OF THE TRANSMISSION. ," TEcH REPLAcED THE SNAP RING AND THE O-RING AND SLID THE SHAFT BAcK IN PLAcE, REFILLED WITH HYDRAULIc OIL AND cHEcKED THE OPERATION."
MFWD Input Snap Ring Failure, Check driveline for MFWD came off. , Found that the snap ring holding driveline on had broken and came out. ," Looked oveR machined. Found that the snap Ring holding dRiveline in place had bRoken and came out. ORdeRed paRt. Once paRts aRRived, RetuRned to machine. Reinstall dRiveline with new snap Ring."
MFWD Input Snap Ring Failure, OPERATOR COMPLAINED THAT THE MFWD QUIT PULLING , SNAP RING POPPED OUT AND MFDW SHAFT CAME OUT OF TRANSMISSION , TEcH INSPEcTED SNAP RING FOR BRING BROKE OR BENT LOOKED OK INSTALLED SHAFT BAcK IN TO TRANSMISSION AND REINSTALLED SNAP RING FAI LED PART #R124576FAILURE MODE: cAME LOOSEFAILED AREA: MFWD DRIVE SHAFT DIAG TIME:Technician comments:TEcH INSPEcTED SNAP R ING FOR BRING BROKE OR BENT LOOKED OK INSTALLED SHAFT BAcK IN TO TRANSMISSION AND REINSTALLED SNAP RING FAILED PART #R124576FAI LURE MODE: cAME LOOSEFAILED AREA: MFWD DRIVE SHAFT
MFWD Input Snap Ring Failure, OPERATOR COMPLAINED THAT THE DRIVE SHAFT CAME LOOSE FROM MFWD , TECH INSPECTED AND FOUND front mfdw drive shaft came out because snap ring was damaged , Removed MFWD dRive shaft snap Ring and installed new snap Ring and Reinstalled dRive shaft FAILED PART #R124576FAILURE MODE: cAM E LOOSEFAILED AREA: MFWD DRIVE SHAFT
MFWD Input Snap Ring Failure, SE HA QUEDADO SIN TRACCION DELANTERA Y PIERDE ACEITE HIDRAULICO POR PROBLEMA EN EJE QUE CONECTA LA TRANSMISION CON LA DOBLE TRACCION , EL FIADOR R124576 SE HA DESPLAZADO DE SU SITIO PORQUE HA APARECIDO DOBLADO Y COMO CONSECUENCIA SE HA MOVIDO EL EJE Y SE HA QUEDADO SIN TRACCION DELANTERA. ," SUSTITUIR FIADOR Y cOLOcAR EL EJE EN SU SITIO ORIGINAL, cOMPROBAR FUNcIONAMIENTO."
Final Drive Input Snap Ring Leak, Oil leak from case cover ," Case cover seal RE65592 leaking due to faulty seal, not sealing properly. "," -Disassembled unit -Removed seal, &amp; found it not sealing pRopeRly due to weak mateRial -Also found the 2 snap Rings that hold th e beaRing in place bRoken -Replaced seal, snap Rings, &amp; Re-assembled unit -Test Ran until op temp was Reached, &amp; found no le aks."
Final Drive Input Snap Ring Leak,  FRONT WHEEL SEAL LEAKING...,"  BROUGHT THE TRACTOR INTO THE SHOP AND PUT JACK STANDS UNDER TRACTOR... RELIEVED THE ILS CYLINDER PRESSURE, JACKED UP THE LEFT SIDE D RIVE ASSEMBLY AND REMOVED OUTER TIRE, REMOVED THE AXLE DRIVE SHAFT FROM THE WHEEL HUB AND REMOVED OIL SEAL... THE DRIVE SHAFT BEARIN G WAS BROKEN AND SNAP RING WAS CRACKED...","  ORDERED A NEW BEARING AND SNAP RING... INSTALLED THE NEW BEARING AND SNAPRING, THE SEALING SURFAcE WAS cLEANED AND INSTALLED NEW OIL SEAL INTO THE HUB, PUT A NEW DUST SEAL AND OIL SLINGER ONTO THE DRIVE SHAFT AND PUT THE DRIVE SHAFT ON THE TRAcTOR AND TORQUED TO SPEc, PUT THE TIRES BAcK ON AND TORQUED TO SPEc, cALIBRATED THE ILS cYLINDERS AND TEST DROVE THE TRAcTOR, RETORQUED WHEEL BOLTS.. ."
Final Drive Input Snap Ring Leak, SHAFT SEAL OUT IN LEFT FRONT ILS HUB , SNAP TING FAILED ," KEY PART # : 40M7285FAILURE DATE: 4-16-2015DOWNTIME: LESS THAN A DAY FAILURE MODE: LEAKEDFAILURE AREA: LEFT HUBcORREcTION: DI AG TIME .25 HOURScHEcKED AND FOUND LEAKREPAIR TIME 3.75 HOURSJAcKED UP FRONT END REMOVED OUTER DUAL AND SPAcERREMOVED cAP TO FIN AL DRIVE REMOVED BOLTREMOVED BOLTS TO U-JOINT R/R SEALSINSTALLED SHAFT, WITH SEALS AND U-JOINTINSTALLED PARTS IN REVERSE RAN I N"
Final Drive Input Snap Ring Leak, OIL LEAKING FROM HUB , SNAP RING FAILED AND ALLOWED BEARING TO MOVE ," POWERGARD WARRANTY: JOB cODE #4 OF 5DEDUcTIBLE: $500TYPE: cOMPREHENSIVEKEY PART #: 40M7285FAILURE DATE: 11-5-2014DOWNTIME:LESS THAN A DAY FAILURE MODE: SIEZED FAILURE AREA: LEFT MFWD cORREcTION: DIAG TIME .50 HOURScHEcKED AND FOUND LEAKREPAIR TIME 4.5 H OURSJAcKED AND SEcURED TRAcTORREMOVED INNER AND OUTER FRONT DUALSDRAINED GEAR OILREMOVED OUTER HUBREMOVED ILS DRIVE SHAFT FROM HUBINSPEcTED BEARINGS cLEANED OUT HUB AND cHEcKED FOR DAMAGE WITH SNAP RING INSTALLED NEW SEALS, ORING AND SNAP RINGINSTALLED PAR TS IN REVERSERAN IN"
Final Drive Input Snap Ring Leak, SHAFT SEAL OUT IN LEFT FRONT ILS HUB , SNAP RING FAILED ," KEY PART: 40M7285FAILURE DATE: 5-3-2015DOWNTIME: LESS THAN A DAY FAILURE MODE: LEAKEDFAILURE AREA: LEFT ILS SHAFT SEALcORREcTIO N: FIELD SERVIcE cALL DIAG TIME .25 HOURScHEcKED AND FOUND LEAKREPAIR TIME 3.75 HOURSJAcKED UP FRONT END REMOVED OUTER DUAL AN D SPAcERREMOVED cAP TO FINAL DRIVE REMOVED BOLTREMOVED BOLTS TO U-JOINT R/R SEALSINSTALLED SHAFT, WITH SEALS AND U-JOINTINSTAL LED PARTS IN REVERSE RAN IN "
Final Drive Input Snap Ring Leak, Leaking oil from front differential (left side). , Leaking oil from front differential (left side). ," Removal of RadaR coveR, cleaning of mid fRame of tRactoR. Removal of dRive of ReaR PTO and diffeRential. Removal of fRom left fendeR left wheel and left side fRont axle ILS. DRain of oil fRom fRont diffeRential case, hydRaulic system and tRansmission. Removal of fRont left coveR of diffeRential. Removal of damaged seal and beaRing. Root of failuRe was missing locking collaR of beaRing 40M728 this caused movement of beaRing and damage of seal. cleaning of Removed paRts, back installation and Replacement of damaged paRts. Testing of functionality of machine"
Final Drive Input Snap Ring Leak, TRACTOR LEAKING FROM LH DIFFERENTAIL HOUSING ," SNAP RING CAME LOOSE, ALLOWED OUTPUT SHAFT TO MOVE IN AND OUT, DAMAGED SEALS "," cLEAN AREA AND OPERATE TRAcTOR TO OPERATING TEMPERATURE TO FIND LEAK. FOUND LEAK AT LH DIFF HOUSING AT ILS HOUSING. RAISE AND SUPPORT MAcHINE. REMOVE WHEEL AND HUB, REMOVE DRIVELINE, REMOVE STEERING KNUcKLE ASSEMBLY, SUPPORT FINAL DRIVE AND REMOVE. FRONT FRAME WAS MOLDED TOO WIDE TO REMOVE THE TOP ILS SUSPENSION cYLINDER BOLT. HAD TO GRIDN THE TOP OF THE FRAME OUT TO REMOVE THE UPPER BOLT SO I cOULD REMOVE THE cYLINDER. PART NUMBER OF THE FRAME IS R335135. ILS SYLINDER AND THE BOTTOM PIVOT PIN WERE SEIZED TO THE TRAcTOR, TOOK A LONG TIME TO REMOVE THE PARTS."
Final Drive Input Snap Ring Leak,  CUSTOMER COMPLAINS THAT OIL IS LEAKING ON LEFT SIDE OF AXLE HOUSING,  FOUND THAT THE 4OM7285 SNAP RING WAS NOT SEATED AND BENT OUT AGAINST THE SEAL CAUSING OIL TO LEAK PAST THE INNER PART OF THE SEAL,"  REMOVED FRONT DUALS, THE DRIVE LINE, LOWER cONTROL ARM, DIFFERETIAL cOVER ON LEFT SIDE. REPLAcED SNAP RING, SEALS AND O-RINGS. RE-INSTALLED ALL PARTS AND cHEcEKED OPERATIONS"
